Date Occurred ,Crime Description
1/02/2019 ,IMPROPER LANE USAGE                
1/02/2019 ,NO REAR REGISTRATION LIGHT         
1/07/2019 ,RECOVERED STOLEN VEHICLE           
1/06/2019 ,DELIVERY CONTROLLED SUB            
1/06/2019 ,OBSTRUCTING JUSTICE                
1/06/2019 ,DRIVING UNDER SUSPENDED LICENSE    
1/06/2019 ,IMPROPER USE OF SIGNAL             
1/06/2019 ,BRINGING CONTRABAND INTO PENAL INST
1/06/2019 ,RESIST/OBS CORRECT/POLICE/FIRE     
1/06/2019 ,IMPROPER USE OF REGISTRATION       
1/07/2019 ,LOST DRIVERS LICENSE/PLATE         
1/06/2019 ,IMPROPER USE OF SIGNAL             
1/03/2019 ,TRAFFIC SIGN VIOLATION             
1/07/2019 ,CRISIS INTERVEN. - DOMESTIC TROUBLE
1/02/2019 ,HANDICAPPED PARKING                
1/07/2019 ,THEFT GENERALLY                    
1/07/2019 ,IMPROPER TURN AT INTERSECTION      
1/08/2019 ,POSS ALCOHOL/LIQ PUBLIC PROP/PARKIN
1/08/2019 ,FOUND ARTICLES                     
1/07/2019 ,IMPROPER USE OF SIGNAL             
1/06/2019 ,ILLEGAL TRANSPORTATION OF LIQUOR   
1/09/2019 ,OPERATE MV W/SUSPEND REGISTRATION  
1/09/2019 ,DRIVING UNDER SUSPENDED LICENSE    
1/09/2019 ,IMPOUNDED VEHICLE                  
1/09/2019 ,OPERATE UNINSURED MOTOR VEHICLE    
1/09/2019 ,LOST ARTICLES                      
1/09/2019 ,SUICIDE ATTEMPT/CUTTING            
1/09/2019 ,CRISIS INTERVEN. - SUICIDE ATTEMPT 
1/09/2019 ,ROBBERY                            
1/09/2019 ,THEFT-RETAIL                       
2/09/2019 ,DECEPTIVE PRACTICES                
2/09/2019 ,THEFT OF LOST/MISLAID PROPERTY     
2/09/2019 ,ACCIDENT INVOLVING NON-INJURY      
2/09/2019 ,ACCIDENT HIT AND RUN               
2/09/2019 ,IMPROPER BACKING                   
2/10/2019 ,BATTERY-DOMESTIC                   
2/09/2019 ,UNLAWFUL VISITATION INTERFERENCE   
2/08/2019 ,DEATH INVESTIGATION                
2/10/2019 ,WARRANT-IN STATE                   
2/10/2019 ,THEFT OVER $500                    
2/05/2019 ,CRISIS INTERVEN. - MENTAL ILLNESS  
2/05/2019 ,CRISIS INTERVEN. - MENTAL ILLNESS  
2/05/2019 ,SPEEDING (RADAR)                   
2/05/2019 ,SPEEDING (RADAR)                   
2/09/2019 ,WARRANT-IN STATE                   
2/11/2019 ,TRAFFIC SIGNAL VIOLATION           
2/11/2019 ,ACCIDENT INVOLVING NON-INJURY      
2/11/2019 ,VOID FILE NUMBER                   
2/08/2019 ,IMPROPER LANE USAGE-ONE-WAY ST     
2/07/2019 ,IMPROPER USE OF SIGNAL             
2/10/2019 ,BURGLARY RESIDENTIAL               
2/11/2019 ,WARRANT-IN STATE                   
2/11/2019 ,ASSIST AGENCY (OTHER)              
2/08/2019 ,LOST DRIVERS LICENSE/PLATE         
2/12/2019 ,FIELD INTERVIEW                    
2/10/2019 ,MIP ALCOHOL/LIQUOR                 
3/12/2019 ,NO REGISTRATION                    
3/11/2019 ,DRIVING UNDER SUSPENDED LICENSE    
1/27/2019 ,BURGLARY RESIDENTIAL               
3/10/2019 ,THEFT FROM MOTOR VEHICLE           
3/11/2019 ,EXPIRED REGISTRATION               
3/11/2019 ,SPEEDING (RADAR)                   
3/11/2019 ,SPEEDING (RADAR)                   
3/14/2019 ,FOUND ARTICLES                     
2/26/2019 ,VOID FILE NUMBER                   
3/12/2019 ,BATTERY-AGGRAVATED                 
3/15/2019 ,DEATH INVESTIGATION                
3/11/2019 ,SPEEDING (RADAR)                   
3/14/2019 ,IMPROPER LANE USAGE                
3/14/2019 ,ACCIDENT INVOLVING NON-INJURY      
3/16/2019 ,WARRANT-IN STATE                   
4/12/2019 ,NO TAILLIGHTS                      
4/13/2019 ,EXPIRED REGISTRATION               
4/16/2019 ,THEFT OVER $500                    
4/04/2019 ,TERRY STOPS                        
4/07/2019 ,ELECTRONIC COMMUNICATION-VOICE     
4/12/2019 ,SPEEDING (RADAR)                   
4/05/2019 ,SPEEDING (RADAR)                   
4/05/2019 ,SPEEDING (RADAR)                   
4/16/2019 ,THEFT OF LOST/MISLAID PROPERTY     
4/16/2019 ,CRISIS INTERVEN. - MENTAL ILLNESS  
4/16/2019 ,MENTAL CASE-TRANSPORTATION         
3/13/2019 ,FORGERY                            
4/17/2019 ,FOLLOWING TOO CLOSELY              
4/08/2019 ,SPEEDING (SCHOOL ZONE)             
4/17/2019 ,DISORDERLY CONDUCT-ALL OTHER       
4/17/2019 ,DOMESTIC DISPUTE                   
4/16/2019 ,DECEPTIVE PRACTICES                
4/16/2019 ,FORGERY                            
4/08/2019 ,SPEEDING (RADAR)                   
4/08/2019 ,SPEEDING (RADAR)                   
4/08/2019 ,SPEEDING (RADAR)                   
4/06/2019 ,TRAFFIC SIGNAL VIOLATION           
4/08/2019 ,TRAFFIC SIGN VIOLATION             
4/17/2019 ,TRESPASS-VEHICLE                   
4/18/2019 ,OTHER TROUBLE/INFO RPT             
3/31/2019 ,WARRANT-IN STATE                   
4/16/2019 ,OBSTRUCTED/TINTED WINDSHIELD       
4/11/2019 ,FAILURE TO YIELD TURNING LEFT      
5/14/2019 ,FAILURE TO YIELD TURNING LEFT      
5/14/2019 ,ACCIDENT INVOLVING NON-INJURY      
5/16/2019 ,FOUND ARTICLES                     
5/02/2019 ,UNLAWFUL USE OF I.D.               
5/11/2019 ,THEFT-RETAIL                       
5/16/2019 ,PEDESTRIAN STOPS                   
5/12/2019 ,DEATH INVESTIGATION                
5/11/2019 ,FAILURE TO REDUCE SPEED            
5/11/2019 ,ACCIDENT INVOLVING NON-INJURY      
5/15/2019 ,FAILURE TO REDUCE SPEED            
5/15/2019 ,ACCIDENT INVOLVING NON-INJURY      
5/15/2019 ,BURGLARY FROM MOTOR VEHICLE        
5/16/2019 ,DECEPTIVE PRACTICES                
5/17/2019 ,THEFT $500 AND UNDER               
5/18/2019 ,FOUND ARTICLES                     
4/25/2019 ,THEFT-IDENTITY                     
5/16/2019 ,BATTERY-DOMESTIC                   
5/19/2019 ,THEFT $500 AND UNDER               
5/18/2019 ,ACCIDENT INVOLVING NON-INJURY      
5/18/2019 ,FAILURE TO YIELD TURNING LEFT      
5/13/2019 ,CRISIS INTERVEN. - MENTAL ILLNESS  
5/16/2019 ,CRISIS INTERVEN. - MENTAL ILLNESS  
5/20/2019 ,NO VALID DL DRIVERS LICENSE        
5/20/2019 ,IMPOUNDED VEHICLE                  
5/20/2019 ,OPERATE UNINSURED MOTOR VEHICLE    
5/20/2019 ,NO TAILLIGHTS                      
5/20/2019 ,DRIVING UNDER THE INFL-ALCOHOL     
5/20/2019 ,IMPOUNDED VEHICLE                  
5/19/2019 ,RETAIL THEFT                       
5/17/2019 ,ACCIDENT INVOLVING NON-INJURY      
5/17/2019 ,ACCIDENT INVOLVING OTHER CITY VEH  
5/17/2019 ,IMPROPER LIGHTING/ONE HEADLIGHT    
5/16/2019 ,IMPROPER LANE USAGE                
6/27/2019 ,SPEEDING (RADAR)                   
6/27/2019 ,CRISIS INTERVEN. - MENTAL ILLNESS  
6/25/2019 ,OTHER EQUIPMENT VIOLATIONS         
6/27/2019 ,BURGLARY FROM MOTOR VEHICLE        
6/28/2019 ,RUNAWAY - MINOR REQUIRE AUTH INTER 
6/23/2019 ,ACCIDENT INVOLVING INJURY          
6/23/2019 ,FAILURE TO REDUCE SPEED            
6/23/2019 ,OPERATE UNINSURED MOTOR VEHICLE    
6/29/2019 ,THEFT $500 AND UNDER               
6/30/2019 ,POSSESSION STOLEN PROPERTY         
6/30/2019 ,BURGLARY RESIDENTIAL               
6/25/2019 ,LOST DRIVERS LICENSE/PLATE         
6/25/2019 ,LOST ARTICLES                      
6/30/2019 ,VIOLATION ORDER PROTECTION         
6/30/2019 ,THEFT-RETAIL                       
6/30/2019 ,THEFT OVER $500                    
6/15/2019 ,ACCIDENT INVOLVING NON-INJURY      
6/15/2019 ,ACCIDENT HIT AND RUN               
6/30/2019 ,BURGLARY RESIDENTIAL               
6/17/2019 ,DISOBEY TRAFFIC SIGNAL/RR CROSSING 
6/27/2019 ,UNLAWFUL USE REG(WRONG VEH)        
6/27/2019 ,NO REAR REGISTRATION LIGHT         
6/16/2019 ,TRAFFIC SIGN VIOLATION             
6/22/2019 ,IMPROPER LANE USAGE-ONE-WAY ST     
7/02/2019 ,CRISIS INTERVEN. - SUICIDE ATTEMPT 
7/02/2019 ,SUICIDE ATTEMPT/DRUGS              
7/02/2019 ,DISORDERLY CONDUCT-ALL OTHER       
7/02/2019 ,OBSTRUCTING JUSTICE                
7/02/2019 ,OBSTRUCTING IDENTIFICATION         
6/29/2019 ,THEFT OVER $500                    
6/29/2019 ,ASSAULT                            
7/02/2019 ,BATTERY-DOMESTIC                   
7/02/2019 ,ASSIST AGENCY (OTHER)              
1/26/2019 ,CRISIS INTERVEN. - MENTAL ILLNESS  
1/26/2019 ,FIELD INTERVIEW                    
8/01/2019 ,UNLAWFUL POSS/USE WEAPON BY FELON  
8/01/2019 ,BURGLARY                           
8/01/2019 ,CRISIS INTERVEN. - OTHER           
8/01/2019 ,FIELD INTERVIEW                    
8/01/2019 ,FIELD INTERVIEW                    
8/01/2019 ,FIELD INTERVIEW                    
8/01/2019 ,FIELD INTERVIEW                    
7/30/2019 ,SPEEDING (RADAR)                   
7/30/2019 ,SPEEDING (RADAR)                   
7/28/2019 ,FIELD INTERVIEW                    
7/31/2019 ,ELECTRONIC COMMUNICATION-VOICE     
8/05/2019 ,VIOLATION OF BAIL BOND             
8/06/2019 ,ASSIST SICK & INJURED              
8/06/2019 ,CRISIS INTERVEN. - MENTAL ILLNESS  
8/06/2019 ,ELECTRONIC COMMUNICATION-VOICE     
8/06/2019 ,ACCIDENT INVOLVING INJURY          
8/06/2019 ,IMPROPER LANE USAGE                
1/21/2019 ,VOID FILE NUMBER                   
8/01/2019 ,FIELD INTERVIEW                    
8/01/2019 ,CRISIS INTERVEN. - PARENT/JUVENILE 
8/06/2019 ,STALKING                           
8/06/2019 ,DISORDERLY CONDUCT-ALL OTHER       
8/06/2019 ,DOMESTIC DISPUTE                   
8/06/2019 ,CRIMINAL DAMAGE TO PROPERTY        
7/22/2019 ,SPEEDING (RADAR)                   
7/22/2019 ,OPERATE UNINSURED MOTOR VEHICLE    
8/05/2019 ,BURGLARY RESIDENTIAL               
8/07/2019 ,ASSAULT                            
7/26/2019 ,ELECTRONIC COMMUNICATION-VOICE     
7/24/2019 ,DECEPTIVE PRACTICES                
8/07/2019 ,IMPROPER TURN AT INTERSECTION      
8/07/2019 ,ACCIDENT INVOLVING INJURY          
8/08/2019 ,FOUND ARTICLES                     
8/08/2019 ,FOUND ARTICLES                     
8/03/2019 ,RUNAWAY - MINOR REQUIRE AUTH INTER 
7/23/2019 ,SPEEDING (RADAR)                   
7/16/2019 ,SPEEDING (RADAR)                   
7/18/2019 ,SPEEDING (RADAR)                   
7/18/2019 ,SPEEDING (RADAR)                   
7/28/2019 ,TRAFFIC SIGN VIOLATION             
7/31/2019 ,OPERATE UNINSURED MOTOR VEHICLE    
7/31/2019 ,ACCIDENT ON PRIVATE PROPERTY       
7/12/2019 ,ELECTRONIC COMMUNICATION-VOICE     
8/10/2019 ,DRIVING UNDER THE INFL-ALCOHOL     
8/10/2019 ,BREATH ALCOHOL OVER LIMIT          
8/10/2019 ,IMPOUNDED VEHICLE                  
8/10/2019 ,IMPROPER LIGHTING/ONE HEADLIGHT    
8/31/2019 ,IMPROPER USE OF SIGNAL             
8/30/2019 ,SPEEDING (RADAR)                   
8/31/2019 ,EXPIRED REGISTRATION               
8/31/2019 ,FAILURE TO SIGNAL                  
8/12/2019 ,SEARCH WARRANT SERVICE             
8/12/2019 ,DEL/MANUF CANNABIS OVER 30 G -FEL  
8/21/2019 ,ELECTRONIC COMMUNICATION-VOICE     
7/19/2019 ,DECEPTIVE PRACTICES                
9/04/2019 ,BURGLARY FROM MOTOR VEHICLE        
9/05/2019 ,BURGLARY                           
9/06/2019 ,SEARCH WARRANT SERVICE             
9/06/2019 ,ASSIST OTHER POLICE DEPT           
9/06/2019 ,DECEPTIVE PRACTICES                
9/06/2019 ,BATTERY                            
9/06/2019 ,TRESPASS-RESIDENCE                 
8/30/2019 ,SPEEDING (RADAR)                   
9/08/2019 ,DRIVING UNDER THE INFL-ALCOHOL     
9/08/2019 ,BREATH ALCOHOL OVER LIMIT          
9/08/2019 ,IMPOUNDED VEHICLE                  
9/08/2019 ,ACCIDENT INVOLVING NON-INJURY      
9/08/2019 ,IMPROPER LANE USAGE                
9/09/2019 ,WARRANT-IN STATE                   
9/09/2019 ,DRIVING UNDER SUSPENDED LICENSE    
9/09/2019 ,OPERATE UNINSURED MOTOR VEHICLE    
9/09/2019 ,BATTERY-DOMESTIC                   
9/09/2019 ,ASSAULT-AGGRAVATED                 
9/07/2019 ,CRISIS INTERVEN. - MENTAL ILLNESS  
9/06/2019 ,RETAIL THEFT                       
9/06/2019 ,THEFT OVER $500                    
9/07/2019 ,WARRANT-IN STATE                   
9/07/2019 ,CRIMINAL DAMAGE TO PROPERTY        
9/07/2019 ,USE OF FORCE BY OFFICER            
8/31/2019 ,ACCIDENT ON PRIVATE PROPERTY       
8/31/2019 ,ACCIDENT INVOLVING NON-INJURY      
8/31/2019 ,ACCIDENT HIT AND RUN               
9/03/2019 ,ACCIDENT INVOLVING NON-INJURY      
9/03/2019 ,FAILURE TO REDUCE SPEED            
8/31/2019 ,FIELD INTERVIEW                    
8/28/2019 ,FIELD INTERVIEW                    
9/03/2019 ,FIELD INTERVIEW                    
9/03/2019 ,FIELD INTERVIEW                    
9/06/2019 ,FIELD INTERVIEW                    
9/06/2019 ,FIELD INTERVIEW                    
8/15/2019 ,OBSTRUCTING TRAFFIC                
9/10/2019 ,IMPROPER LIGHTING/ONE HEADLIGHT    
9/27/2019 ,SPEEDING (RADAR)                   
9/10/2019 ,OTHER EQUIPMENT VIOLATIONS         
9/16/2019 ,SPEEDING (RADAR)                   
9/17/2019 ,SPEEDING (SCHOOL ZONE)             
5/03/2019 ,LOST ARTICLES                      
9/29/2019 ,ACCIDENT ON PRIVATE PROPERTY       
9/29/2019 ,ACCIDENT INVOLVING INJURY          
9/25/2019 ,ACCIDENT INVOLVING NON-INJURY      
9/30/2019 ,OPERATE UNINSURED MOTOR VEHICLE    
10/02/2019,OPERATE UNINSURED MOTOR VEHICLE    
10/07/2019,LOST ARTICLES                      
10/04/2019,VOID FILE NUMBER                   
10/01/2019,ACCIDENT INVOLVING NON-INJURY      
10/01/2019,FAILURE TO REDUCE SPEED            
10/02/2019,THEFT $500 AND UNDER               
10/08/2019,CRISIS INTERVEN. - SUICIDE ATTEMPT 
11/06/2019,SUICIDE THREAT-NO ATTEMPT          
11/06/2019,CRISIS INT - SUICIDE THREAT/ATTEMPT
10/28/2019,SPEEDING (RADAR)                   
11/07/2019,CONTROLLED SUBSTANCE-POSSESSION    
11/07/2019,CONTROLLED SUBSTANCE-LOOK-ALIKE    
11/06/2019,ASSIST SICK & INJURED              
11/06/2019,CRISIS INTERVEN. - MENTAL ILLNESS  
11/06/2019,RUNAWAY - MINOR REQUIRE AUTH INTER 
11/04/2019,FIELD INTERVIEW                    
11/04/2019,CRISIS INTERVEN. - ALCOHOL         
11/02/2019,FAILURE TO YIELD AT INTERSECTION   
11/02/2019,ACCIDENT INVOLVING NON-INJURY      
11/06/2019,FIELD INTERVIEW                    
10/27/2019,PEDESTRIAN STOPS                   
11/03/2019,FAILURE TO YIELD PEDESTRIAN        
1/12/2019 ,NO REAR REGISTRATION LIGHT         
1/12/2019 ,IMPROPER TURN-NOT AT INTERSECTION  
1/12/2019 ,IMPROPER USE OF SIGNAL             
1/11/2019 ,IMPROPER TURN AT INTERSECTION      
1/09/2019 ,SPEEDING (RADAR)                   
1/09/2019 ,OPERATE UNINSURED MOTOR VEHICLE    
1/11/2019 ,FIELD INTERVIEW                    
1/09/2019 ,SPEEDING (SCHOOL ZONE)             
1/09/2019 ,OPERATE UNINSURED MOTOR VEHICLE    
1/09/2019 ,ELECTRONIC COMMUNICATION-VOICE     
1/09/2019 ,ELECTRONIC COMMUNICATION-VOICE     
1/10/2019 ,TRAFFIC SIGNAL VIOLATION           
1/10/2019 ,SPEEDING (RADAR)                   
1/15/2019 ,FIELD INTERVIEW                    
1/14/2019 ,USE OF FORCE BY OFFICER            
1/14/2019 ,BATTERY-DOMESTIC                   
1/10/2019 ,SPEEDING (RADAR)                   
1/15/2019 ,CRIMINAL DAMAGE TO PROPERTY        
1/13/2019 ,FAILURE TO YIELD AT INTERSECTION   
1/13/2019 ,ACCIDENT INVOLVING NON-INJURY      
1/13/2019 ,OPERATE UNINSURED MOTOR VEHICLE    
1/15/2019 ,TRESPASS-RESIDENCE                 
1/02/2019 ,SEXUAL-ASSAULT-CRIMINAL            
1/09/2019 ,SPEEDING (RADAR)                   
1/09/2019 ,EXPIRED REGISTRATION               
1/17/2019 ,IMPOUNDED VEHICLE                  
1/13/2019 ,NO REAR REGISTRATION LIGHT         
1/13/2019 ,OBSTRUCTED REG/IMPROP DISPLAY      
1/14/2019 ,SPEEDING (RADAR)                   
1/15/2019 ,IMPROPER USE OF SIGNAL             
1/17/2019 ,IMPROPER LANE USAGE                
1/17/2019 ,OPERATE UNINSURED MOTOR VEHICLE    
1/17/2019 ,IMPOUNDED VEHICLE                  
2/10/2019 ,RETAIL THEFT                       
2/17/2019 ,ROBBERY                            
2/17/2019 ,THEFT OVER $500                    
2/17/2019 ,THEFT $500 AND UNDER               
2/17/2019 ,VIOLATION ORDER PROTECTION         
2/17/2019 ,IMPROPER LIGHTING/ONE HEADLIGHT    
2/18/2019 ,DECEPTIVE PRACTICES                
2/17/2019 ,CRISIS INTERVEN. - OTHER           
2/13/2019 ,NO FRONT PLATE                     
2/15/2019 ,ILLEGAL SQUEALING/SCREECHING TIRES 
2/15/2019 ,TRAFFIC SIGNAL VIOLATION           
2/19/2019 ,THEFT OVER $500                    
2/19/2019 ,BATTERY-DOMESTIC                   
2/19/2019 ,VIOLATION ORDER PROTECTION         
2/20/2019 ,THEFT-RETAIL                       
2/19/2019 ,SEARCH WARRANT SERVICE             
2/19/2019 ,UNLAWFUL USE OF WEAPONS            
2/19/2019 ,DEL/MANUF CANNABIS OVER 30 G -FEL  
2/19/2019 ,PROPERTY FORFEITURE-MAINTAIN PUBLIC
2/19/2019 ,ASSAULT-AGGRAVATED                 
2/19/2019 ,BATTERY                            
2/19/2019 ,BATTERY                            
2/19/2019 ,CRIMINAL DAMAGE TO PROPERTY        
2/19/2019 ,CRISIS INT - SUICIDE THREAT/ATTEMPT
2/19/2019 ,PROBATION VIOLATION                
1/02/2019 ,OTHER EQUIPMENT VIOLATIONS         
1/03/2019 ,EXPIRED REGISTRATION               
1/04/2019 ,FOUND ARTICLES                     
1/06/2019 ,FOUND ARTICLES                     
1/06/2019 ,WARRANT-IN STATE                   
1/07/2019 ,BATTERY-DOMESTIC                   
1/02/2019 ,TERRY STOPS                        
1/02/2019 ,DRIVING UNDER SUSPENDED LICENSE    
1/07/2019 ,UNLAWFUL POSS/USE WEAPON BY FELON  
1/07/2019 ,DOMESTIC DISPUTE                   
1/07/2019 ,DEFACING IDENTI.MARKS OF FIREARMS  
1/06/2019 ,NO REAR REGISTRATION LIGHT         
1/07/2019 ,ASSAULT-AGGRAVATED                 
1/07/2019 ,CRISIS INTERVEN. - MENTAL ILLNESS  
