offense,number,cleared,cleared_under_18,month,year
1. Criminal Homicide,5,1,,1,2015
a. Murder and Nonnegligent Homicide,5,1,,1,2015
b. Manslaughter by Negligence,,,,1,2015
2. Forcible Rape Total,59,22,1,1,2015
a. Rape by Force,57,21,1,1,2015
b. Attempts to commit Forcible Rape,2,1,,1,2015
3. Robbery Total,246,76,10,1,2015
a. Firearm,90,16,2,1,2015
b. Knife or Cutting Instrument,24,10,,1,2015
c. Other Dangerous Weapon,26,8,2,1,2015
"d. Strong-Arm (Hands, Fists, Feet, Etc.)",106,42,6,1,2015
4. Assault Total,"2,271","1,594",186,1,2015
a. Firearm,37,18,,1,2015
b. Knife or Cutting Instrument,64,43,3,1,2015
c. Other Dangerous Weapon,89,64,3,1,2015
"d. Hands, Fists, Feet, Etc. - Aggravated injury",63,51,6,1,2015
Aggravated Assault Total,253,176,12,1,2015
"4e. Other Assaults - Simple, Not Aggravated","2,018","1,418",174,1,2015
5. Burglary Total,864,158,6,1,2015
a. Forcible Entry,572,84,4,1,2015
b. Unlawful Entry - No Force,232,62,2,1,2015
c. Attempted Forcible Entry,60,12,,1,2015
6. Larceny - Theft Total,"3,531",966,81,1,2015
7. Motor Vehicle Theft Total,447,59,11,1,2015
a. Autos,421,57,11,1,2015
b. Trucks and Buses,10,,,1,2015
c. Other Vehicles,16,2,,1,2015
8. Arson,26,8,4,1,2015
9. Human Trafficking - Commercial Sex Act,,,,1,2015
10. Human Trafficking - Involuntary Servitude,,,,1,2015
Grand Total,"7,449","2,884",299,1,2015
Index Violent Crime,563,275,23,1,2015
Index Property Crime,"4,868","1,191",102,1,2015
Part I Crime (Index Crime),"5,431","1,466",125,1,2015
1. Criminal Homicide,3,7,,2,2015
a. Murder and Nonnegligent Homicide,2,6,,2,2015
b. Manslaughter by Negligence,1,1,,2,2015
2. Forcible Rape Total,55,13,3,2,2015
a. Rape by Force,53,13,3,2,2015
b. Attempts to commit Forcible Rape,2,,,2,2015
3. Robbery Total,198,78,9,2,2015
a. Firearm,74,22,,2,2015
b. Knife or Cutting Instrument,21,10,,2,2015
c. Other Dangerous Weapon,18,5,,2,2015
"d. Strong-Arm (Hands, Fists, Feet, Etc.)",85,41,9,2,2015
4. Assault Total,"2,016","1,422",156,2,2015
a. Firearm,36,12,,2,2015
b. Knife or Cutting Instrument,50,41,3,2,2015
c. Other Dangerous Weapon,75,54,3,2,2015
"d. Hands, Fists, Feet, Etc. - Aggravated injury",77,60,4,2,2015
Aggravated Assault Total,238,167,10,2,2015
"4e. Other Assaults - Simple, Not Aggravated","1,778","1,255",146,2,2015
5. Burglary Total,442,96,3,2,2015
a. Forcible Entry,264,56,2,2,2015
b. Unlawful Entry - No Force,127,31,1,2,2015
c. Attempted Forcible Entry,51,9,,2,2015
6. Larceny - Theft Total,"2,643",712,49,2,2015
7. Motor Vehicle Theft Total,322,38,5,2,2015
a. Autos,302,36,5,2,2015
b. Trucks and Buses,9,1,,2,2015
c. Other Vehicles,11,1,,2,2015
8. Arson,11,3,1,2,2015
9. Human Trafficking - Commercial Sex Act,,,,2,2015
10. Human Trafficking - Involuntary Servitude,,,,2,2015
Grand Total,"5,690","2,369",226,2,2015
Index Violent Crime,493,264,22,2,2015
Index Property Crime,"3,418",849,58,2,2015
Part I Crime (Index Crime),"3,911","1,113",80,2,2015
1. Criminal Homicide,13,8,,3,2015
a. Murder and Nonnegligent Homicide,13,8,,3,2015
b. Manslaughter by Negligence,,,,3,2015
2. Forcible Rape Total,71,31,2,3,2015
a. Rape by Force,69,30,2,3,2015
b. Attempts to commit Forcible Rape,2,1,,3,2015
3. Robbery Total,198,82,7,3,2015
a. Firearm,65,17,,3,2015
b. Knife or Cutting Instrument,18,8,,3,2015
c. Other Dangerous Weapon,11,6,,3,2015
"d. Strong-Arm (Hands, Fists, Feet, Etc.)",104,51,7,3,2015
4. Assault Total,"2,434","1,709",232,3,2015
a. Firearm,39,16,2,3,2015
b. Knife or Cutting Instrument,72,61,8,3,2015
c. Other Dangerous Weapon,108,81,4,3,2015
"d. Hands, Fists, Feet, Etc. - Aggravated injury",96,83,9,3,2015
Aggravated Assault Total,315,241,23,3,2015
"4e. Other Assaults - Simple, Not Aggravated","2,119","1,468",209,3,2015
5. Burglary Total,629,210,14,3,2015
a. Forcible Entry,347,118,8,3,2015
b. Unlawful Entry - No Force,225,83,5,3,2015
c. Attempted Forcible Entry,57,9,1,3,2015
6. Larceny - Theft Total,"3,431",958,66,3,2015
7. Motor Vehicle Theft Total,401,54,7,3,2015
a. Autos,354,51,7,3,2015
b. Trucks and Buses,10,1,,3,2015
c. Other Vehicles,37,2,,3,2015
8. Arson,17,6,1,3,2015
9. Human Trafficking - Commercial Sex Act,,,,3,2015
10. Human Trafficking - Involuntary Servitude,,,,3,2015
Grand Total,"7,194","3,058",329,3,2015
Index Violent Crime,597,362,32,3,2015
Index Property Crime,"4,478","1,228",88,3,2015
Part I Crime (Index Crime),"5,075","1,590",120,3,2015
1. Criminal Homicide,8,4,,4,2015
a. Murder and Nonnegligent Homicide,8,4,,4,2015
b. Manslaughter by Negligence,,,,4,2015
2. Forcible Rape Total,63,17,,4,2015
a. Rape by Force,63,17,,4,2015
b. Attempts to commit Forcible Rape,,,,4,2015
3. Robbery Total,223,73,7,4,2015
a. Firearm,76,24,2,4,2015
b. Knife or Cutting Instrument,25,10,2,4,2015
c. Other Dangerous Weapon,14,6,,4,2015
"d. Strong-Arm (Hands, Fists, Feet, Etc.)",108,33,3,4,2015
4. Assault Total,"2,486","1,667",198,4,2015
a. Firearm,44,24,3,4,2015
b. Knife or Cutting Instrument,91,54,7,4,2015
c. Other Dangerous Weapon,97,47,1,4,2015
"d. Hands, Fists, Feet, Etc. - Aggravated injury",98,70,11,4,2015
Aggravated Assault Total,330,195,22,4,2015
"4e. Other Assaults - Simple, Not Aggravated","2,156","1,472",176,4,2015
5. Burglary Total,714,93,6,4,2015
a. Forcible Entry,410,66,4,4,2015
b. Unlawful Entry - No Force,233,25,2,4,2015
c. Attempted Forcible Entry,71,2,,4,2015
6. Larceny - Theft Total,"3,928",957,58,4,2015
7. Motor Vehicle Theft Total,470,54,9,4,2015
a. Autos,394,44,8,4,2015
b. Trucks and Buses,23,5,1,4,2015
c. Other Vehicles,53,5,,4,2015
8. Arson,21,3,2,4,2015
9. Human Trafficking - Commercial Sex Act,,,,4,2015
10. Human Trafficking - Involuntary Servitude,,,,4,2015
Grand Total,"7,913","2,868",280,4,2015
Index Violent Crime,624,289,29,4,2015
Index Property Crime,"5,133","1,107",75,4,2015
Part I Crime (Index Crime),"5,757","1,396",104,4,2015
1. Criminal Homicide,8,7,,5,2015
a. Murder and Nonnegligent Homicide,7,6,,5,2015
b. Manslaughter by Negligence,1,1,,5,2015
2. Forcible Rape Total,74,31,1,5,2015
a. Rape by Force,71,31,1,5,2015
b. Attempts to commit Forcible Rape,3,,,5,2015
3. Robbery Total,251,79,11,5,2015
a. Firearm,76,19,,5,2015
b. Knife or Cutting Instrument,30,9,2,5,2015
c. Other Dangerous Weapon,22,6,,5,2015
"d. Strong-Arm (Hands, Fists, Feet, Etc.)",123,45,9,5,2015
4. Assault Total,"3,062","1,987",232,5,2015
a. Firearm,72,14,,5,2015
b. Knife or Cutting Instrument,81,55,2,5,2015
c. Other Dangerous Weapon,141,90,6,5,2015
"d. Hands, Fists, Feet, Etc. - Aggravated injury",120,89,5,5,2015
Aggravated Assault Total,414,248,13,5,2015
"4e. Other Assaults - Simple, Not Aggravated","2,648","1,739",219,5,2015
5. Burglary Total,816,189,16,5,2015
a. Forcible Entry,466,131,7,5,2015
b. Unlawful Entry - No Force,267,49,9,5,2015
c. Attempted Forcible Entry,83,9,,5,2015
6. Larceny - Theft Total,"4,273",921,100,5,2015
7. Motor Vehicle Theft Total,473,37,9,5,2015
a. Autos,371,30,7,5,2015
b. Trucks and Buses,23,2,1,5,2015
c. Other Vehicles,79,5,1,5,2015
8. Arson,29,5,,5,2015
9. Human Trafficking - Commercial Sex Act,,,,5,2015
10. Human Trafficking - Involuntary Servitude,,,,5,2015
Grand Total,"8,986","3,256",369,5,2015
Index Violent Crime,746,364,25,5,2015
Index Property Crime,"5,591","1,152",125,5,2015
Part I Crime (Index Crime),"6,337","1,516",150,5,2015
1. Criminal Homicide,9,11,,6,2015
a. Murder and Nonnegligent Homicide,9,9,,6,2015
b. Manslaughter by Negligence,,2,,6,2015
2. Forcible Rape Total,64,14,2,6,2015
a. Rape by Force,61,14,2,6,2015
b. Attempts to commit Forcible Rape,3,,,6,2015
3. Robbery Total,273,74,11,6,2015
a. Firearm,89,24,,6,2015
b. Knife or Cutting Instrument,29,5,2,6,2015
c. Other Dangerous Weapon,23,4,,6,2015
"d. Strong-Arm (Hands, Fists, Feet, Etc.)",132,41,9,6,2015
4. Assault Total,"2,715","1,874",200,6,2015
a. Firearm,58,28,4,6,2015
b. Knife or Cutting Instrument,109,75,6,6,2015
c. Other Dangerous Weapon,129,81,5,6,2015
"d. Hands, Fists, Feet, Etc. - Aggravated injury",112,97,12,6,2015
Aggravated Assault Total,408,281,27,6,2015
"4e. Other Assaults - Simple, Not Aggravated","2,307","1,593",173,6,2015
5. Burglary Total,855,151,13,6,2015
a. Forcible Entry,504,88,8,6,2015
b. Unlawful Entry - No Force,275,49,4,6,2015
c. Attempted Forcible Entry,76,14,1,6,2015
6. Larceny - Theft Total,"4,276",834,71,6,2015
7. Motor Vehicle Theft Total,566,47,14,6,2015
a. Autos,443,33,10,6,2015
b. Trucks and Buses,15,3,,6,2015
c. Other Vehicles,108,11,4,6,2015
8. Arson,27,8,3,6,2015
9. Human Trafficking - Commercial Sex Act,,,,6,2015
10. Human Trafficking - Involuntary Servitude,,,,6,2015
Grand Total,"8,785","3,013",314,6,2015
Index Violent Crime,754,378,40,6,2015
Index Property Crime,"5,724","1,040",101,6,2015
Part I Crime (Index Crime),"6,478","1,418",141,6,2015
1. Criminal Homicide,15,6,,7,2015
a. Murder and Nonnegligent Homicide,14,4,,7,2015
b. Manslaughter by Negligence,1,2,,7,2015
2. Forcible Rape Total,78,23,3,7,2015
a. Rape by Force,75,22,3,7,2015
b. Attempts to commit Forcible Rape,3,1,,7,2015
3. Robbery Total,272,86,11,7,2015
a. Firearm,87,29,2,7,2015
b. Knife or Cutting Instrument,22,5,1,7,2015
c. Other Dangerous Weapon,25,7,2,7,2015
"d. Strong-Arm (Hands, Fists, Feet, Etc.)",138,45,6,7,2015
4. Assault Total,"2,816","1,884",118,7,2015
a. Firearm,70,17,1,7,2015
b. Knife or Cutting Instrument,116,73,5,7,2015
c. Other Dangerous Weapon,137,74,8,7,2015
"d. Hands, Fists, Feet, Etc. - Aggravated injury",103,60,2,7,2015
Aggravated Assault Total,426,224,16,7,2015
"4e. Other Assaults - Simple, Not Aggravated","2,390","1,660",102,7,2015
5. Burglary Total,"1,039",146,19,7,2015
a. Forcible Entry,554,74,7,7,2015
b. Unlawful Entry - No Force,393,63,9,7,2015
c. Attempted Forcible Entry,92,9,3,7,2015
6. Larceny - Theft Total,"4,774",994,77,7,2015
7. Motor Vehicle Theft Total,600,64,21,7,2015
a. Autos,460,50,13,7,2015
b. Trucks and Buses,24,3,1,7,2015
c. Other Vehicles,116,11,7,7,2015
8. Arson,18,6,1,7,2015
9. Human Trafficking - Commercial Sex Act,,,,7,2015
10. Human Trafficking - Involuntary Servitude,,,,7,2015
Grand Total,"9,612","3,209",250,7,2015
Index Violent Crime,790,337,30,7,2015
Index Property Crime,"6,431","1,210",118,7,2015
Part I Crime (Index Crime),"7,221","1,547",148,7,2015
1. Criminal Homicide,12,6,,8,2015
a. Murder and Nonnegligent Homicide,12,6,,8,2015
b. Manslaughter by Negligence,,,,8,2015
2. Forcible Rape Total,62,20,6,8,2015
a. Rape by Force,62,18,5,8,2015
b. Attempts to commit Forcible Rape,,2,1,8,2015
3. Robbery Total,284,68,8,8,2015
a. Firearm,90,16,,8,2015
b. Knife or Cutting Instrument,27,9,1,8,2015
c. Other Dangerous Weapon,26,5,,8,2015
"d. Strong-Arm (Hands, Fists, Feet, Etc.)",141,38,7,8,2015
4. Assault Total,"2,817","2,036",144,8,2015
a. Firearm,61,30,5,8,2015
b. Knife or Cutting Instrument,104,63,2,8,2015
